GT,Result
211115 446957 796591 190409 203621 858512 416441 585389 90567 955144 ,116316 988883 894382 203621 893687 902074 441492 638186 376876 768018 
811321 610344 25280 476785 360048 904876 831145 236483 927953 871325 ,39537 79046 249482 764138 468832 638847 116210 442738 187893 890535 
57748 882623 850970 745558 764138 986313 905656 304370 498876 671258 ,671869 594579 190819 996761 53445 804457 671258 323443 58523 478373 
652750 810889 57748 702274 793605 352465 618355 850970 320916 500558 ,822348 822276 710157 207201 822228 539799 971341 934196 541833 475206 
254928 386729 523176 62407 105156 376277 172317 232811 71003 495030 ,101510 178865 364674 263790 513061 612066 433970 834373 230197 178149 
925694 136536 946203 729289 144728 501001 343857 679724 608724 588520 ,768763 413638 643701 835702 829592 608738 807855 826820 555811 902337 
754429 160548 370847 842271 856836 986900 98163 92085 310601 770844 ,414105 875866 32755 248419 735948 32069 332146 245443 198263 277079 
774810 700942 51453 865926 662059 332338 422436 736783 759813 483644 ,412275 53508 54059 438535 53903 853022 121515 774810 488073 459529 
719587 62879 98602 251462 692000 201687 952494 256352 509335 732286 ,17482 732286 752330 888666 983066 841610 849770 219494 515464 720427 
531690 644849 588387 113179 297636 848871 44418 854911 619999 913339 ,113179 848871 531690 44418 854911 619999 913339 644849 501112 362197 
513843 368166 354003 821040 20066 818313 285473 172317 621718 915316 ,164963 913338 936247 202348 381995 519716 178469 384679 232932 993911 
125084 340849 845955 136532 397482 391087 550321 988591 607107 454889 ,522774 687591 746516 519605 271246 540684 216577 72432 363803 774193 
340517 349019 140887 559392 711591 39494 848871 909448 667130 232776 ,8931 918586 260473 425577 426334 539903 910555 512857 319101 809331 
66709 986900 890503 144140 340479 478095 232776 450451 313502 151056 ,685691 676042 418756 414562 577890 749894 379183 861920 935377 163498 
136472 395782 316266 792978 633249 537913 679666 579759 787368 624104 ,316266 224549 295968 253853 26638 742973 537913 679666 136472 887367 
386729 216541 315308 576153 67119 326715 664567 517059 465017 627915 ,671638 137464 308355 5373 496878 461472 699176 857029 226421 682086 
828420 521504 979573 178042 527344 628479 455900 802241 659552 714994 ,518175 616134 207597 42536 892139 461193 107347 186283 241605 656905 
1890 256489 882240 720759 490359 297707 809967 722398 246983 124233 ,89140 91969 469622 482505 280016 43944 298447 250203 370749 367891 
289288 488761 61303 30466 699830 16722 617177 172317 824226 712710 ,261917 814887 233800 712710 518085 514088 905009 44865 487529 152559 
136532 793339 576323 16722 565977 75460 495955 297905 530580 122747 ,173110 160034 303011 793339 429541 678944 293009 112093 177315 431123 
343295 933486 957699 370847 646045 81921 343857 734521 476785 394513 ,842026 779338 596965 15233 933486 842054 896182 957699 354976 575034 
523176 535070 364259 80802 305301 531166 992808 104904 280752 342979 ,44860 45370 69193 491438 717016 77375 229399 342979 770781 534690 
991712 57432 45163 381057 700971 475972 618393 537048 824804 282004 ,258501 991712 57432 767372 39082 615620 45163 554116 381057 642255 
842245 417112 698478 638645 742221 297905 495955 365099 527541 549165 ,584224 245332 515221 901846 292428 470545 306047 480827 863588 376795 
290376 123423 517639 954512 550702 765478 585835 283625 968513 347174 ,913076 320461 290376 651721 789967 301771 518250 586540 317000 63513 
509335 624721 153516 435974 668363 834280 955020 594119 739013 992941 ,525673 595532 942961 173510 937539 348333 241346 128584 973274 571426 
463411 78387 701984 8828 106600 528859 489744 881770 221516 355839 ,680648 111979 130703 692843 898823 918273 858162 729180 689923 943745 
288194 113111 714954 812069 895565 361009 36695 319839 858573 119737 ,716879 713854 989765 648730 673214 6648 667549 610011 760219 28194 
617177 332869 329385 544475 289288 122732 509326 514088 22965 627915 ,469659 300391 560726 329385 193392 294986 870894 251409 547070 531166 
254377 637952 465174 70335 195879 558550 615746 607508 88784 816633 ,511522 662810 739188 254377 480825 964941 177916 678616 982996 200062 
896485 389902 513843 456810 8120 244168 772671 176670 523176 489837 ,545308 312757 321795 149577 832814 365953 18010 394713 171914 232741 
139634 987555 507806 409809 65153 334253 360640 808228 114566 651882 ,118860 230253 75669 381029 801358 34888 218108 174338 427144 139634 
264783 518085 729920 90606 196950 152559 415294 542468 192791 977755 ,82856 524500 516395 704213 323249 264398 283985 106348 264783 518085 
895459 487024 60379 592980 610344 60329 904402 633608 848131 706580 ,153612 539012 967054 967389 978210 73033 83225 181390 531084 124149 
614134 627330 201687 208930 781572 361119 692000 357654 380232 62538 ,633090 633749 541996 199728 278544 982295 916700 544633 137466 632941 
905442 126448 75999 240413 268264 535605 839683 327472 432196 569698 ,596247 795683 349048 135947 752844 181378 12830 62798 886949 842319 
737706 679379 465303 717128 701270 507807 203555 21021 358877 165912 ,265555 995656 495437 874826 331328 684034 468016 314679 698326 37999 
361119 509335 476785 454753 835957 343066 949207 836270 842271 500558 ,718064 817336 768598 913722 473477 370709 44993 737930 106536 453968 
851510 986900 827499 111985 614134 632216 370847 201687 627330 317321 ,334524 290244 341145 951379 567451 100277 624962 537992 367993 354218 
531690 829853 128847 828891 366874 226459 204361 338599 450451 84811 ,439889 989393 189423 144553 65442 722889 689240 421158 722718 64921 
960656 842271 888133 62879 503698 129028 739013 531690 62798 834280 ,390999 960656 277958 976618 560887 957385 885506 71520 191113 875986 
62879 960042 671258 107713 201687 214355 618355 810889 485024 606027 ,352269 692720 178174 491845 947244 67144 246326 314451 600309 225305 
390187 121872 50999 520877 975140 601368 32352 342660 230524 3503 ,508213 159949 234954 107537 38554 593483 276458 61491 354390 509356 
698478 295957 530580 332869 513843 30466 267829 509326 645524 294597 ,726497 82182 179081 251205 499502 754207 1790 322146 547349 916110 
340083 657186 248203 873570 352465 553283 793605 509335 268685 374202 ,539442 676784 824261 765211 886597 430414 539658 763345 763381 969389 
267829 426663 915223 672708 415294 289288 627915 617177 645524 774324 ,802097 593062 573172 110912 534794 962725 995012 590955 34470 709767 
986900 614134 692000 531690 473460 811547 361009 17073 358064 827499 ,343206 522530 560834 399052 322277 241158 314926 470973 631242 230083 
239556 959163 98163 951057 208672 814709 546190 497195 862379 151072 ,959163 493254 321248 440277 615740 149716 57293 959344 199168 277984 
487962 449937 172654 389930 720199 204546 332869 730464 21110 170602 ,969505 292100 730338 237923 331837 222341 499387 156119 279508 435843 
509335 679073 538821 889095 739013 349237 842271 633608 895591 888133 ,617990 390946 397108 615205 257560 615031 400955 346995 665096 400214 
389930 292903 205670 692115 997991 710677 782969 716513 725467 742221 ,572919 128913 811252 821922 20080 381332 820886 507975 509957 122719 
80802 238012 689877 624680 390187 194971 933867 151399 2725 85756 ,560036 180872 164309 808891 719626 181029 94047 489197 94337 610342 
485024 719587 98163 361009 62879 596512 62798 318800 830953 296299 ,204864 719587 489522 680079 538689 62798 830953 686805 220539 931995 
842271 130138 835957 148941 987336 395782 230396 343295 850970 98163 ,703042 842891 199868 287109 857757 838960 529803 875932 929821 22186 
714571 694088 416975 295173 315745 967110 84349 301487 71193 661248 ,695379 895337 284791 779178 84539 232914 845277 286217 389408 59989 
463411 30466 267829 71003 244168 106600 417112 513843 597526 698478 ,24013 633120 414340 702106 283963 727168 392887 294424 182934 823606 
29963 69546 805122 255013 364121 275343 363785 30466 992126 873790 ,725890 503814 193563 283153 572235 242179 668862 688828 233427 465823 
87385 84561 908939 719254 694459 566459 724507 741048 804236 616412 ,528519 237786 772193 929263 528439 822077 365308 833895 261441 87385 
538689 500558 770844 905442 12992 62879 268264 103638 562260 856877 ,538689 970091 932476 407703 886252 224756 48071 363187 546579 253313 
745558 714809 381568 538689 905656 500558 593173 220114 356197 848004 ,204246 739596 146896 668363 628715 970707 897102 283552 181918 685438 
487962 204546 576153 283013 720199 415294 793722 739188 997991 30030 ,458799 782453 237815 951279 982055 690075 933412 106267 466775 703151 
500558 361119 478377 277601 854812 642058 944197 890416 853925 450451 ,229600 843289 471927 36256 391335 102316 848232 923707 135300 799287 
102498 453634 704129 128425 695461 515173 862099 667048 526355 79707 ,566915 910933 88190 567110 616341 239179 283734 404139 472403 822279 
588387 450451 338599 626296 654661 128847 843289 918839 561389 531690 ,664297 831273 681753 274865 681749 668576 681777 104217 618380 100900 
102818 890851 503698 826176 322554 629080 729289 84844 352634 919758 ,371167 940593 969187 797736 958301 617877 560793 835221 639473 839560 
419404 814679 689876 139690 726693 486337 302434 663952 842583 658369 ,529003 258074 87223 351719 341530 497530 16642 240757 658868 433524 
788491 69546 790186 496973 72746 275343 437020 473018 94911 603120 ,748530 401518 902781 271606 520684 141765 132913 597670 533565 521569 
782645 972167 614134 644849 487024 827499 349019 411391 197206 214355 ,263668 99554 851429 141887 530441 899098 948267 766398 223888 876280 
361119 509335 450451 842271 476785 107713 531690 770844 40300 719587 ,69986 22082 151840 709644 17178 264123 515250 863244 599292 979579 
107713 835957 955938 618355 848871 343295 208672 531690 654661 705930 ,433141 727732 776666 664780 869378 416345 957840 250301 984772 376688 
500558 904876 11449 890416 611267 828498 396416 563015 692791 450451 ,902150 73132 1468 902586 243105 420546 224349 882973 14120 470857 
16722 915141 528918 824226 903728 667048 353465 377767 234749 404406 ,731164 366525 738834 130536 393064 249802 548914 20860 960222 108745 
481845 174756 432893 350788 396851 931329 519294 833091 690228 776153 ,196527 275343 427858 481818 337230 86956 337801 94343 724858 169505 
381568 616284 183602 435974 231685 451501 625374 955020 712975 646045 ,498256 35442 995881 83230 877165 409018 669429 979174 696112 807685 
182413 238223 535502 390741 611289 105103 322671 131521 847844 719330 ,431712 782155 710543 796817 359850 363693 83917 195419 59950 781120 
531690 614134 450451 827499 102818 473460 588387 65287 243924 333414 ,496412 775145 70381 224468 353780 231417 529541 811858 302550 545634 
128847 450451 486146 969085 702274 972680 162053 40300 221598 297636 ,208798 181324 680464 699679 573037 43493 390355 485305 457896 244324 
531690 975847 230396 297636 200306 15558 407474 450451 749959 886253 ,877181 480787 975847 167396 499149 772838 958758 158705 94668 630263 
38736 38861 54475 49861 907875 546835 39585 411945 803712 37787 ,536109 648223 468861 37895 38817 899577 478176 774551 5950 911507 
30466 285473 249336 617177 742221 332869 911677 80802 509326 523176 ,743254 23586 911218 741148 783853 443611 294702 614906 215847 159416 
770844 394319 179665 12992 71883 646045 343857 797994 297636 476785 ,682001 60259 517693 284762 764605 614740 810267 720914 585618 563258 
244168 645524 531166 104904 279440 460858 949715 929691 372560 597526 ,797003 217952 5560 334258 718516 969162 335109 667750 805995 682336 
106600 45568 254928 121872 308637 763369 8828 463411 609211 742221 ,619240 334119 68880 324337 765226 323474 739770 283188 917420 801537 
851510 531690 201687 256352 735361 474286 450451 835730 162053 895044 ,291816 776668 595039 10060 563395 895044 541964 363206 130307 959833 
509335 729289 890416 904876 243924 734740 761257 945503 370847 271423 ,223638 870337 729289 341444 890416 538667 895564 79504 877897 761257 
726069 483155 960769 218615 749285 799997 474985 523176 730565 549592 ,821073 590669 384968 510267 378028 399956 69418 397486 678381 598201 
500558 828891 912984 577625 340517 611267 235146 870441 834118 863063 ,761200 812607 48190 170612 187662 875383 265582 565159 245499 494977 
694677 96478 174242 106952 184207 171717 32598 378006 548987 724721 ,33867 525288 841031 31028 97061 526083 974394 273573 153386 694677 
274692 747238 234553 189022 244168 686339 1335 289634 869026 30011 ,47663 958984 779296 470622 100547 526589 987975 580028 226208 7772 
822117 859931 105156 310442 1808 256043 89126 810592 61303 645101 ,175674 342848 470137 106266 171785 938134 184834 416141 271294 64706 
226459 485024 834280 62879 273676 103788 574887 520781 972680 834247 ,7491 844554 156627 515010 981510 206386 270664 515359 513537 202990 
692000 886142 655625 102818 773606 39534 475629 2665 986900 881114 ,610514 242223 835818 139384 27952 140966 753362 618111 657715 870239 
437003 549165 742221 175483 136532 978846 71003 29259 364706 25316 ,523533 524904 696027 437003 389946 242215 384232 406012 465475 819127 
834567 820658 416141 41404 547558 467931 982370 791158 541073 56020 ,210612 998188 271603 637354 89123 90132 87153 509580 822091 785810 
886142 490300 102818 243924 345891 848414 677012 990135 125260 627330 ,976824 559703 281378 68938 450433 756768 410557 972532 939984 789960 
385934 199726 711284 370704 375847 834237 57459 845267 557322 62798 ,322843 551007 258159 413500 216986 88564 482184 225229 613214 106066 
386729 661486 649612 903728 903382 273656 748530 881297 937978 307101 ,94807 935790 114014 113573 777543 513548 365459 607846 10543 146837 
253405 336859 629982 80802 149762 933867 659613 364259 562935 294597 ,934511 120159 510715 628155 83375 200924 697169 608699 938333 873793 
66379 343857 806998 730020 578919 660194 42540 297636 224891 710322 ,764342 883356 33423 491364 350069 522299 522859 819596 231419 639721 
979419 223807 858603 563196 296299 739820 161038 712001 912893 198529 ,843968 348473 716841 104148 399733 641751 489910 996378 356306 225392 
358533 559221 384089 93441 951197 413286 790640 238323 721881 575351 ,978375 177465 346200 619319 157436 186977 592180 114611 160844 161589 
243026 340517 895459 478377 268264 842271 2665 475629 848414 411842 ,957593 882636 950886 815140 58602 776510 114942 484782 821720 206977 
627915 204546 8828 768341 824226 309759 774324 933947 609211 354462 ,914601 847913 814471 907812 820584 770725 6163 560212 762262 795857 
106600 805122 376277 627915 489744 495030 635099 5373 947494 210214 ,136554 263175 193362 612260 194070 826219 513916 744348 573855 122915 
210926 56380 289823 362870 991794 249336 784965 249055 793183 526638 ,153299 633514 246696 468052 569459 210926 799635 84398 65189 502215 
742221 894693 849653 627915 72746 100496 636826 979573 16722 45568 ,475278 117015 912102 198621 923052 913620 476759 475315 725211 477407 
262964 204546 997991 698478 389930 722979 332869 68416 351913 398341 ,430202 474848 126129 23615 964981 175284 748814 59598 138890 635949 
198529 881863 184589 394089 450451 533007 333414 614134 588387 357848 ,807112 560921 451392 161273 723478 241562 214734 842918 70039 509616 
25289 998122 375274 437285 812663 646807 249407 64037 445008 56102 ,160535 593979 159894 178356 889793 825041 103944 889701 356850 763405 
614134 396416 728292 116526 450451 681892 434873 895459 500558 955085 ,744151 398678 11289 87467 209790 270175 205897 209530 738395 746815 
332869 289288 698478 30466 513843 267829 8828 467931 204546 420148 ,106282 367097 208925 230524 392887 830589 719622 470776 157035 214278 
32352 30466 530580 72746 436658 772671 925400 136532 80802 234553 ,924968 433287 262380 573361 538196 441376 803316 356573 193679 510276 
614134 842271 986900 62879 201687 268264 494831 531690 960656 812069 ,562041 191485 561222 908441 906857 564079 563997 223692 564008 223884 
588387 531690 450451 614134 304056 170578 201687 827499 288194 714954 ,510083 289153 247600 19402 843279 907107 906878 230252 948185 182316 
385015 25316 600469 21110 201000 71003 164061 80761 377580 739188 ,926997 106929 690705 79956 485327 322360 663154 954754 4811 966877 
